#Note ID	French	Source	Jula1	Note1	Jula2	Note2	Bambara	Note3	tags
3218598874	Créer	Boyd	Dan						
1527665647598	Pionnier spécial	Yannick	Dan na Piyoniye						
1527665647599	Créature spirituelle	Yannick	Danfɛn hakililama						
1527665647600	Contemporain de david	Yannick	Daouda ka wagati mɔgɔ				Daouda ka filankuru		
1527665647601	Fils unique-engendré	Yannick	Dencɛ kelenpɛ bangelen						
1527665647603	Secte	Yannick	Diinan bolo fara						
1527665647604	Collège d'anciens	Yannick	Diinan mɔgɔkorow jɛnkulu						
-54217186336	Ancien	Boyd	Diinan mɔgɔ kɔrɔ						
1527665647606	Coordinateur du collège des anciens	Yannick	Diinan mɔgɔkɔrɔw jɛnkulu ka koow labɛnbaga						
1527665647607	Surveillant président	Yannick	Diinan mɔgɔkɔrɔw ɲɛbila						
1527665647608	Surveillant de ville	Yannick	Dugu kɔrɔsibaga						
1527665647609	Sur la terre entière	Yannick	Dugukolo kuru bɛɛ kan		Dugukolo faan bɛɛ la				
1527665647610	Ruine de la terre	Yannick	Dugukolo tinyɛni						
1527665647611	Esprit du monde	Yannick	Duninya ka miiriya						
1527665647612	Dans un monde méchant et corrompu	Yannick	Duniɲa juguman tolinen kɔnɔ						
1527665647613	Puissance mondiale	Yannick	Duniɲa ka jamana fangatigi						
1527665647614	Souverain de l'univers / souverain seigneur	Yannick	Duniɲa kuru bɛɛ masaba						
20017719262	Vin	Boyd	Duvɛn						
1527665647616	Contenance, Capacité	Yannick	Fahakɛ						
1527665647617	Une tenue et une coiffure modeste	Yannick	Fanidocogo ni kuun masiricogo dama kɛɲɛnen						
20017677956	Chair	Boyd	Farisogo						
1527665647619	Chair imparfaite	Yannick	Farisogo dafabali						
1527665647620	Oeuvres de la chair	Yannick	Farisogo ka kɛwali						
1527665647621	Désirs charnels	Yannick	Farisogo negew						
1527665647622	Faute grave	Yannick	Filiba						
1527665647623	Tabernacle	Yannick	Finiso						
3830971515	Discours public	Boyd	Forobakalan						duplicate
1527665647625	Discours public	Yannick	Forobakalan						duplicate
1527665647626	Discours spécial	Yannick	Forobakalan kɛrɛnkɛrɛn						
20017822377	Levure	Boyd	Funufen						
1527665647628	Discours de mariage	Yannick	Furukalan						
1527665647629	Publication	Yannick	Gafe						
1527665647630	Préposé aux publications	Yannick	Gafekow ɲɛnabobaga						
-54217186332	Antenne de traduction	Boyd	Gafew bayɛlɛma yɔrɔ						
1527665647632	Demande de publications (demande écrite)	Yannick	Gafew nyinisɛbɛ						
-15518782417	École de guiléad	Boyd	Gilead lakɔli						
1527665647634	Inefficacité des gouvernements	Yannick	Gofɛrɛnɛman dɛsɛbagato						
1527665647635	Propos confidentiels	Yannick	Gundo kumaw						
1527665647636	Étude familiale	Yannick	Gwakalan						
1527665647637	Poteau de supplice	Yannick	Gwengwe yiri						
1527665647638	Esprit fixé sur le royaume	Yannick	Hakili be sigi masaya koow kan						
-53018156709	Esprit saint	Boyd	Hakili senu						duplicate
1527665647640	Esprit saint	Yannick	Hakili senu						duplicate
1527665647642	Riche nourriture spirituelle	Yannick	Hakilimaya domuni nafamanba						
1527665647643	Compagnie spirituelle stimulante	Yannick	Hakilimaya jɛnnyogonya duman						
1527665647644	Combien d'idées aborder ?	Yannick	Hakilinata hakɛ juman ta ?						
1527665647645	Point principal	Yannick	Hakilinata jonjon		hakilinata kunbaba				
1527665647646	Éclaircir un point	Yannick	Hakilinata koro yira ka gwɛ						
1527665647647	Même lorsque la situation semble désespérée	Yannick	Hali ni koow be i n'a fɔ jigisɛmɛ yɔrɔ tɛ yen						
1527665647648	Assurez-vous que la chambre est propre et nette	Yannick	I k'i janto k'a filɛ n'i sibon saniyalen be ani a ladonnen be						
1527665647649	Donner à jéhovah le meilleur	Yannick	I k'i seko fisaman kɛ jehova ma						
1527665647650	Noter les points qui s'appliquent à toi	Yannick	I ka hakilinataw sɛbɛ, minw ɲɛsinna i ma						
1527665647651	Restons proches de l'organisation de jéhovah	Yannick	I ka to jehova ka jɛnkulu kɔrɔ						
1527665647652	Ne pas s'écarter des lois	Yannick	I kana mabɔ sariyaw la						
1527665647653	Objectif personnel	Yannick	I togola lanyinita						
-7052097941	Israëlites	Boyd	Israɛldenw						
1527665647655	Support visuel	Yannick	Jaa		Foto				
1527665647656	Réponse imprimée	Yannick	Jaabili sɛbɛnen						
1527665647657	Source d'encouragement	Yannick	Jagwɛlɛya sababu						
-53020300790	Enfer	Boyd	Jahanama						
1527665647659	Accusé faussement	Yannick	Jalaki gwansan						
1527665647660	Peuple élu	Yannick	Jama sugandilen						
1527665647661	Assemblée	Yannick	Jamakulu						duplicate
1527665647662	Grande foule	Yannick	Jamakuluba						
-15176835587	Sans foi	Boyd	Janfanci						
1527665647664	Se retirer	Yannick	Jara						
1527665647665	Jéhovah désire le meilleur de nous -mêmes	Yannick	Jehova be an seko fisaman lo fɛ						
1527665647666	Jéhovah sera avec nous	Yannick	Jehova bena kɛ an fɛ						
1527665647667	Créations de jéhovah	Yannick	Jehova ka fɛɛn danenw						
1527665647668	Jéhovah mérite d'être loué	Yannick	Jehova ka kan ni tandoli ye						
-15522069116	Char de jehovah	Boyd	Jehova ka wotoro						
-53019084841	Témoins de jéhovah	Boyd	Jehova seerew						
1527665647671	Jéhovah a décrété que	Yannick	Jehova y'a latigɛ ko						
-27410134907	Que jehovah te bénisse	Boyd	Jéhovah ye i ɲuman don						
1527665647673	Brûler / consumer	Yannick	Jeni				Jɛni		
1527665647674	Se réunir avec ceux que nous aimons	Yannick	Jɛn n'an diyanye mɔgɔw ye						
1527665647675	Saine compagnie	Yannick	Jɛnnyogonya nyuman						
-5583657714	Démon	Boyd	Jina						
1527665647678	Améliorer sa personnalité	Yannick	Jogo yɛlɛma						
-54217186334	Esclave fidèle et avisé	Boyd	Jɔnkɛ dannamɔgɔ hakiliman		Joncɛ  kantigiman hakiliman				duplicate
1527665647680	Esclave fidèle et avisé	Yannick	Jɔnkɛ dannamɔgɔ hakiliman		Joncɛ  kantigiman hakiliman				duplicate
1527665647681	Transgresseur	Yannick	Jurumukɛla						
1527665647682	Laisser la parole de dieu les pousser à l'action	Yannick	K'a to ala ka kuma ka u lasun						
1527665647683	Éviter les pièges	Yannick	K'a yɛrɛ tanga jaan dow ma						duplicate
1527665647684	Souligner (accentuer)	Yannick	K'a yira ka gwɛ						
1527665647685	Compter sur jéhovah	Yannick	K'an bolo la jehova kan						
1527665647686	Nourrir le cœur	Yannick	K'an dusukun balo						
1527665647687	Nous inciter	Yannick	K'an lasun						
1527665647688	Donner le meilleur	Yannick	K'an seko fisaman kɛ						
1527665647689	Résister aux tentations	Yannick	K'an yɛrɛ lafasa kɔrɔbɔliw ma						
1527665647690	Se comparer aux autres	Yannick	K'an yɛrɛ suma ni mɔgɔw wɛrɛw ye						
1527665647691	Revêtir un corps humain	Yannick	Ka adamaden cogoya ta						
1527665647692	Respecter les normes divines	Yannick	Ka Ala ka siraw labato						
1527665647693	Refuser une transfusion de sang	Yannick	Ka ban ka joli don an fari la						
1527665647694	Parler d'un sujet d'intérêt local	Yannick	Ka baro dabo kiin kono koo do kan						
1527665647695	Améliorer nos conversations	Yannick	Ka baro kɛcogo fisaya						
1527665647696	Succomber aux tentations	Yannick	Ka ben Kɔrɔboliw na						
1527665647697	Apprendre des textes bibliques	Yannick	Ka bibulusenw degi k'u lɔn						
1527665647698	Collaborer avec les anciens	Yannick	Ka bolo di diinan mɔgɔkorow ma						
20017637158	Rompre le pain	Boyd	Ka buru kari kari						
1527665647700	Ecourter poliment la conversation	Yannick	Ka daan sigi o baro la ni bonya ye						
1527665647701	Cultiver de bonnes habitudes	Yannick	Ka degi delinanko ɲumanw na						
1527665647702	Toucher le cœur	Yannick	Ka dusu sɔrɔ						
1527665647703	Développer nos facultés de perception	Yannick	Ka faamuyali hakili bonya						
1527665647704	Tenue raisonnable	Yannick	Ka fani kɛɲɛnen don						
1527665647705	Séances d'excercice	Yannick	Ka gafe yiracogo degi						
1527665647706	Excommunier	Yannick	Ka gwɛn ka bɔ kafo kɔnɔ						
1527665647707	Raisonner habilement à partir des écritures	Yannick	Ka hakilijagabɔ koɲuman bibulusenw kan						
1527665647708	Réponse claire	Yannick	Ka jaabili soro min gwɛnen be						
1527665647709	Tenir compte de ses limites	Yannick	Ka janto a ka faamuyali danyoro la						
1527665647710	Faire attention à son enseignement	Yannick	Ka janto mɔgɔw kalanni na						
1527665647711	Connaître jéhovah et le servir	Yannick	Ka jehova lon ani ka baara kɛ a ye						
1527665647712	Louer jéhovah publiquement	Yannick	Ka jehova tando bɛɛ nyɛ na						
1527665647713	Resserrer ses liens avec jéhovah	Yannick	Ka jɛnɲɔgɔya teriman yiriwa ile ni ala cɛ						
1527665647714	Se chercher des excuses	Yannick	Ka joo di an yɛrɛ ma						
1527665647715	Améliorer la qualité de la voix	Yannick	Ka kaan cogo fisaya						
1527665647716	Enseigner avec simplicité	Yannick	Ka kalan cogo nɔgɔman na						
1527665647717	Commencer une étude  dès le premier contact	Yannick	Ka kalan daminɛ ɲɔgɔnye fɔlɔ la						
1527665647718	Tirer leçon	Yannick	Ka kalan sɔrɔ						
1527665647719	Assumer les responsabilités chrétiennes	Yannick	Ka kerecɛnya kunkanbaaraw dafa						
1527665647720	Axer sa vie	Yannick	Ka kɛ a ɲɛnako fɔlɔ ya						
19411781712	Sauver du péché et la mort	Boyd	Ka kisi jurumu ni saya bolo						
1527665647722	Commander (passer commande)	Yannick	Ka komandi kɛ						
1527665647723	Rester équilibré	Yannick	Ka koo kɛ k'a dama kɛnyɛ						
1527665647724	Croître spirituellement	Yannick	Ka kɔgɔ Alako ta fan fɛ						
1527665647725	Anticiper les objections	Yannick	Ka kɔn k'i yɛrɛ labɛn sɔsɔliw koo la						
1527665647726	Avant notre ère	Yannick	Ka kɔn Krista tile ɲɛ						
1527665647727	Demander des congés	Yannick	Ka kɔnze deli						
1527665647728	Surveiller correctement	Yannick	Ka kɔrɔsi ka ɲɛ						
1527665647729	Pause appropriée	Yannick	Ka kuma ka lɔ cogo bɛnnen na						
1527665647730	S'agenouiller	Yannick	Ka kunbiri gwan duguma						
1527665647731	Se réveiller de la mort	Yannick	Ka kunu ka bɔ saya la						
1527665647732	Se fixer personnellement des objectifs	Yannick	Ka lanyinitaw latigɛ u yɛrɛw ye						
1527665647733	Se fixer l'objectif d'être	Yannick	Ka laɲini ka kɛ … ye						
1527665647734	Eveiller la curiosité	Yannick	Ka lasun u ka ɲiningali kɛ						
1527665647735	Tenir ferme contre le diable et les démons	Yannick	Ka lo ka nyɛ ka sitanɛ ni jinaw kunbɛn						
1527665647736	Nettoyer et entretenir la salle du royaume	Yannick	Ka masaya boon saniya ani k'a ladon						
1527665647737	Susciter la conversation	Yannick	Ka mɔgɔ lasun a k'a daa don an ka baro la						
1527665647738	Enseigner sans oublier que le temps presse	Yannick	Ka mɔgɔ kalan ni kɔrɔtɔ miiriya ye						
1527665647739	Tirer profit	Yannick	Ka nafa sɔrɔ						
1527665647740	Calomnier jéhovah	Yannick	Ka nafigiya kɛ jehova la						
1527665647741	Amasser des trésors sur la terre	Yannick	Ka nafolo lajɛn dugukolo kan						
1527665647742	Offrandes en faveur de l'œuvre mondiale	Yannick	Ka nili kɛ duniɲa kuru bɛɛ kama						
1527665647743	Donner avec joie	Yannick	Ka nili kɛ ni diyanye ye						
1527665647744	Repentir sincère	Yannick	Ka nimisa sɔbɛ la						
1527665647745	Glorifier dieu	Yannick	Ka nɔɔrɔ la ala kan						
1527665647746	Mener une vie simple	Yannick	Ka ɲɛnamaya kɛ cogo nɔgɔman na						
1527665647747	Vivre dans l'attachement à dieu	Yannick	Ka ɲɛnamaya kɛ k'an masirilen to ala la						
1527665647748	Changer de mode de vie	Yannick	Ka ɲɛnamaya kɛcogo yɛlɛma						
1527665647749	Oublier jéhovah	Yannick	Ka ɲinɛ jehova kɔ						
1527665647750	Soigneusement nettoyé avant l'heure	Yannick	Ka saniya konyuman ka kɔn lɛri nyɛ						
1527665647751	Surmonter les obstacles	Yannick	Ka see sɔrɔ baliw kan						
1527665647752	Participer à une forme du ministère	Yannick	Ka seen don cidenya baara faan dɔ la						
1527665647753	Faire notre maximum	Yannick	Ka seko bɛɛ kɛ						
1527665647754	Prendre note succinctement	Yannick	Ka sɛbɛ ka surunya						
1527665647755	Ajouter du poids à nos paroles	Yannick	Ka sinsin an ka kumaw kan						
1527665647756	Nous affiner	Yannick	Ka soon kolon bo an na						
1527665647757	S'appliquer à connaître la parole de dieu	Yannick	Ka sɔbɛ don ka ala ka kuma kalan						
1527665647758	Soulever une objection	Yannick	Ka sɔsɔli lawuli						
1527665647759	Aller à un rendez-vous	Yannick	Ka taa nyogonye do la						
1527665647760	Aller là où le besoin est grand	Yannick	Ka taga sigi yɔrɔ min na makoyaba be yen						
1527665647761	Éviter les pièges	Yannick	K'a yɛrɛ tanga jaan dow ma						duplicate
1527665647762	Payer les frais de transport	Yannick	Ka taransipɔri musakaw sara						
1527665647763	Saisir les occasions propices	Yannick	Ka tɛmɛ cogoya ɲumanw fɛ						
1527665647764	Prendre position pour jéhovah	Yannick	Ka tugu jehova kɔ						
1527665647765	Prêcher librement	Yannick	Ka waajuli kɛ ɲɛsuma na						
1527665647766	Réserver du temps	Yannick	Ka wagati latigɛ						
-53018186881	Miracle	Boyd	Kabako						
2217883563	Païen	Boyd	Kafiri						
-53018792198	Congrégation	Boyd	Kafo						duplicate
1527665647770	Congrégation	Yannick	Kafo						duplicate
1527665647771	Besoin de la congrégation	Yannick	Kafo ka mako						
1527665647772	Membre de la congrégation	Yannick	Kafoden						
-54217186337	Surveillant itinérant	Boyd	Kɔrɔsigibaga tagamakɛla						duplicate
1527665647774	Surveillant de circonscription	Yannick	Kafokulu kɔrɔsigibaga		Kafokulu kɔrɔsibaga				
1527665647775	Comment remplir le formulaire	Yannick	Kafolisɛbɛ dafacogo						
1527665647776	Immoralité	Yannick	Kakalaya						
1527665647777	Après chaque exposé	Yannick	Kalan kelen-kelen banni kɔ						
1527665647778	Orateur	Yannick	Kalan kɛbaga		Forobakalan dibaga				
1527665647779	Développement logique	Yannick	Kalan kɛcogo tilenna						
1527665647780	Discours et discussions	Yannick	Kalan ni baro						
1527665647781	Environ 5000 nouveaux disciples	Yannick	Kalanden kura 5000 nyogon						
1527665647782	Publications d'étude	Yannick	Kalankɛ  gafew						
1527665647783	Symposium	Yannick	Kalankulu						
1527665647784	Exposé suivant	Yannick	Kalansen nɔfɛta						
1527665647786	Fils de la désobéissance	Yannick	Kan bilali denw						
1527665647787	Campagne spéciale	Yannick	Kanpaɲi kɛrɛnkɛrɛn						
1527665647788	Bonté de cœur	Yannick	Kanuya kantigiman						
1527665647789	Son amour influence toutes ses actions	Yannick	Kanuya lo b'a lasun a ka kɛtaw bɛɛ la						
1527665647790	Étude individuelle	Yannick	Kelenna kalan						
1527665647791	Frères chrétiens	Yannick	Kerecɛn balimaw						
1527665647792	Ministre chrétien	Yannick	Kerecɛn ciden						
1527665647793	Chrétien célibataire	Yannick	Kerecɛn furubali						
1527665647794	Chrétien marié	Yannick	Kerecɛn furulen						
1527665647795	Compagnons chrétiens	Yannick	Kerecɛnɲɔgɔnw						
1527665647796	Réunion chrétienne	Yannick	Kerecɛnya lajɛn						
1527665647798	Char de guerre	Yannick	Kɛlɛkɛwotoro						
1527665647799	Lumière brillante (vérité)	Yannick	Kɛnɛyeelen						
1527665647800	Actes	Yannick	Kɛwalen						duplicate
1527665647801	Bonne nouvelle	Yannick	Kibaro duman						
1527665647802	Bonne nouvelle éternelle	Yannick	Kibaru duman banbali						
1527665647803	Territoire	Yannick	Kiin		Jamana				
1527665647804	Territoire, quartier	Yannick	Kiin						
1527665647805	Territoire souvent parcouru	Yannick	Kiin boli-boli siɲɛ caaman						
2217905132	Prophétie	Boyd	Ciraya		Cirakuma				duplicate
1527665647807	Christ	Yannick	Kirista						
-11284825780	Prophète	Boyd	Cira						
1527665647809	Étude de livre	Yannick	Kitabukalan jɛnkulu						
1527665647810	Séparer de babylone la grande	Yannick	Ko an faranna ka bo babilonɛba la						
1527665647811	Surveillant de district	Yannick	Kobe kɔrɔsigibaga						
1527665647812	Compte tenu du temps imparti	Yannick	Komi wagati daan tigɛra						
1527665647813	Vérifions les choses les plus importantes	Yannick	Koo minw kɔrɔtanin lo ka tɛmɛ tɔɔw kan, aw k'olu faranfasi						
1527665647814	Système de choses	Yannick	Koo sigi cogoya		Diɲɛ				
25806141398	Encadré	Boyd	Koorilen						
1527665647816	Collège central	Yannick	Koow Ɲɛnabɔla Jɛnkulu						
1527665647817	Mer rouge	Yannick	Kɔgɔji wulen						
1527665647818	Tentation	Yannick	Kɔrɔboli						
-54217186339	Assistant ministériel	Boyd	Kɔrɔsigi ciden						duplicate
1527665647820	Assistant ministériel	Yannick	Kɔrɔsigi ciden						duplicate
1527665647821	Assistant ministériel expérimenté	Yannick	Kɔrɔsigi ciden setigi						
1527665647822	Surveillant itinérant	Yannick	Kɔrɔsigibaga tagamakɛla						duplicate
3830892769	Tour de garde	Boyd	Kɔrɔsili sangaso						
1527665647824	En cas d'urgence	Yannick	Kɔrɔtɔkow kosɔn						
20017511166	Mémorial de la mort de christ	Boyd	Krista ka saya hakilijigi lajɛn						
1527665647826	Intronisation du christ	Yannick	Krista sigini masa sigilan kan						
-55856535130	Éternellement	Boyd	Kudayi						
1527665647828	Service à plein temps	Yannick	Kudayi cidenya baara						
1527665647829	Pionnier permanent	Yannick	Kudayi Piyoniye						
1527665647830	Technique oratoire	Yannick	Kumacogo fɛɛrɛ						
1527665647831	Prière de conclusion	Yannick	Kuncɛli delili						
1527665647832	De nouveaux sommets ont été atteints	Yannick	Kunkɔrɔta kura caaman sɔrɔla						
1527665647833	Sacrifice rédempteur	Yannick	Kunmabɔ  saraka						duplicate
-53018679285	Rançon	Boyd	Kunmabɔsara						
4895241135	Sacrifice rédempteur	Boyd	Kunmabɔ  saraka						duplicate
1527665647836	Communication spéciale	Yannick	Kunnafoni kɛrɛnkɛrɛn						
3656657915	Communications	Boyd	Kunnafoniw						
1527665647838	Trébucher (spirituellement)	Yannick	Kunnatiɲɛ						
1527665647839	Souveraineté	Yannick	Kuntigiya		Sebagaya		Masabaya		
1527665647840	Conducteur à la tour de garde	Yannick	La tour de garde kalan ɲɛminɛbaga						
1527665647841	Organisation	Yannick	Labɛn		Ɔriganisasiyɔn				
-53018428141	Sabbat	Boyd	Lafiɲɛlon						
-11085274429	Réunion	Boyd	Lajɛn						
1527665647844	Lors de la réunion	Yannick	Lajɛn kɛto						
1527665647845	Lieux de culte	Yannick	Lajɛn kɛyɔrɔw						
1527665647846	Assemblée	Yannick	Jamakulu						duplicate
1527665647847	Salle d'assemblées	Yannick	Lajɛnba boonw						
1527665647848	Surveillant de l'école	Yannick	Lakoli kɔrɔsibaga						
-55856535126	Ressussiter	Boyd	Lakunun						
4896872164	Interlocuteur	Boyd	Lamɛnbaga		Lamɛnnikɛla				
1527665647851	Compagnon de chambre	Yannick	Lamɔgɔ						
1527665647852	Foi (sans)	Yannick	Lanabaliya						
1527665647853	Foi	Yannick	Lanaya						duplicate
1527665647854	Foi solide	Yannick	Lanaya barikaman						
1527665647855	Foi naissante	Yannick	Lanaya kura						
-201373188	Alliance	Boyd	Tɔnsigi						duplicate
1527665647857	Terre promise	Yannick	Layidu jamana						
1527665647858	Arche (de l'alliance)	Yannick	Layidu waganden						
1527665647859	Semaine spéciale	Yannick	Lɔgɔkun kɛrɛnkɛrɛnnin						
1527665647860	Jéhovah est humble	Yannick	Majigilenya be Jehova la (Si sentiment, qualité, partie du corps : be … la)						
1527665647861	Chez les personnes intéressées	Yannick	Makodon mɔgɔw fɛ						
1527665647862	Ne doit pas durer plus de	Yannick	Man kan ka mɛɛn ka tɛmɛ … kan						
1527665647863	Codirigeant	Yannick	Marakɛɲɔgɔn						
4894757744	Royaume	Boyd	Masaya						
1527665647865	Salle du royaume	Yannick	Masaya boon				Massaya Soo	Bambara	
1527665647866	Ministère du royaume	Yannick	Masaya cidenyabaara						
1527665647867	Bonne nouvelle du royaume	Yannick	Masaya kibaro duman						
-15518899097	École pour évangélisateurs du royaume	Boyd	Masaya waajulikɛlaw ka lakoli						
4894740815	Messie	Boyd	Masiya						
1527665647870	Repas du seigneur	Yannick	Matigi ka surafana seli						
1527665647872	Attitude mentale	Yannick	Miiriya cogo						
1527665647873	Offre du mois	Yannick	Min be di kalo la						
1527665647874	Qui convienne	Yannick	Min dagalen be						
1527665647875	Qui mérite toute notre attention	Yannick	Min ka kan ka ta sɔbɛ la						
1527665647876	Trop décontracté	Yannick	Min labilanen lo kojugu						
1527665647877	Qui correspond	Yannick	Min nyɛsinna						
1527665647878	Qui est indécent	Yannick	Min tɛ mɔgɔ sutara						
1527665647879	Qui est excentrique	Yannick	Min waganen lo kojugu						
1527665647880	Ceux dont la situation ressemble à la nôtre	Yannick	Minw be an ka cogoya ɲɔgɔn kɔnɔ						
