#French	Source	Jula1	Note1	Jula2	Note2	Bambara	Note3	Note ID	tags
Qui mérite toute notre attention	Yannick	Min ka kan ka ta sɔbɛ la						1527665647875	
Trop décontracté	Yannick	Min labilanen lo kojugu						1527665647876	
Qui correspond	Yannick	Min nyɛsinna						1527665647877	
Qui est indécent	Yannick	Min tɛ mɔgɔ sutara						1527665647878	
Qui est excentrique	Yannick	Min waganen lo kojugu						1527665647879	
Ceux dont la situation ressemble à la nôtre	Yannick	Minw be an ka cogoya ɲɔgɔn kɔnɔ						1527665647880	
Qui correspondent le mieux à leurs besoins	Yannick	Minw be u makow ɲɛ cogo fisaman na						1527665647881	
Ceux qui ont grandi dans un foyer chrétien	Yannick	Minw lamɔna kerecɛnya denbaya kɔnɔ						1527665647882	
Sujet de préoccupation	Yannick	mɔgɔ be hami koo min koson						1527665647883	
Membres du service accueil	Yannick	mɔgɔ kunbɛnbagaw						1527665647884	
Beaucoup écoutent plus attentivement	Yannick	mɔgɔw b'u tulo malo						1527665647885	
Préposé à l'accueil	Yannick	Mɔgɔ kunbɛnbaga						1527665647886	
Peuple particulier	Yannick	Mɔgɔ ɲɛnatɔmɔnin						1527665647887	
Cela ne passe pas inaperçu	Yannick	Mɔgɔ wɛrɛw b'a kɔrɔsi						1527665647888	
Centres d'intérêt des gens	Yannick	Mɔgɔw ka makoyaw						1527665647889	
Qu'est-ce que cela requiert de nous?	Yannick	Mun lo ɲininen be an fɛ do ?						1527665647890	
Pourquoi tolère-t-il autant de souffrances ?	Yannick	Mun na a b'a to tɔɔrɔ be caya ten ?						1527665647891	
Endurer	Boyd	Muɲu						3661744119	
Endurance	Yannick	Muɲuli						1527665647893	
Apostat	Yannick	Murutilen						1527665647894	
Quand nous sommes occupés dans le service	Yannick	N'an bolo degunnen be Alakow la						1527665647895	
Diable	Boyd	Naafigi						-53019039215	
Bienfait durable	Yannick	Nafa bɛrɛbɛrɛ						1527665647897	
J'ai ma propre religion	Yannick	Ne be diinan dɔ la ka ban						1527665647898	
Ça ne m'intéresse pas	Yannick	Ne mako t'a la						1527665647899	
Je ne m'intéresse pas aux témoins de jéhovah	Yannick	Ne mako tɛ jehova seerew la						1527665647900	
Tact	Yannick	Nɛmɛnɛmɛ						1527665647901	
La fin de la fausse religion est proche	Yannick	Ngalon diinan laban ka surun						1527665647902	
Si une personne manifeste de l'intérêt	Yannick	Ni mɔgɔ do y'a mako don an ka baro la						1527665647903	
Dans la mesure du temps disponible	Yannick	Ni wagati be yen						1527665647904	
Offrande	Yannick	Nili						1527665647905	
Au bord du nil	Yannick	Nili bada la						1527665647906	
Boîte à offrande	Boyd	Nili buwati						3653464641	
Repentir (se)	Yannick	Nimisa fɛn la						1527665647908	
Repentance	Yannick	Nimisali						1527665647909	
Cela donne vraiment à réfléchir	Yannick	Nin b'an lasun ka miiri sɔbɛ la						1527665647910	
Cette information est importante car …	Yannick	Nin kunnafoni korotalen be sabu …						1527665647911	
Joie	Boyd	Ninsɔndiya						-11287133660	
Service joyeux	Yannick	Nyagali baara						1527665647914	
Espérance de la vie éternelle	Yannick	Nyɛnamaya banbali jigi						1527665647915	
Expliquer	Boyd	Ɲɛfɔ						-7054053843	
Guider	Boyd	Ɲɛminɛ						-7054111008	
Président (d'une réunion)	Yannick	Ɲɛminɛbaga		Barokuntigi		Kalankɛla ɲɛbila		1527665647918	
Réunion récréative	Yannick	Ɲɛnagɛw lajɛn		Tulonkɛ lajɛn		Ɲɛnagɛw ɲɔgɔnye		1527665647919	
Éveiller l'intérêt	Yannick	Ɲɛnatigɛ		Ka hakili sama				1527665647920	
Question subsidiaire	Yannick	Ɲiningali wɛrɛ						1527665647921	
Esprit de compétition	Yannick	Ɲɔgɔndan miiriya						1527665647922	
Bonté	Yannick	Ɲumaya						1527665647923	
Bonté mal placée	Yannick	Ɲumaya min man kan		Ɲumaya min a dagalen tɛ				1527665647924	
Cela prouve que	Yannick	O b'a yira ka gwɛ ko						1527665647925	
Cela arrivera de notre vivant	Yannick	O bena kɛ k'an to sii la						1527665647926	
De tels sacrifices	Yannick	O bonyogonko sarakaw						1527665647927	
Un article l'a poussé	Yannick	O kalan y'a lasun						1527665647928	
Cette femme n'a jamais manqué une réunion	Yannick	O muso ma fɔn lajɛn si la						1527665647929	
Ce genre de questions	Yannick	O ɲiningali ɲogonw						1527665647930	
Pas le moment de flâner	Yannick	O tɛ saliya wagati ye						1527665647931	
Cela l'affermi en vue des épreuves à endurer	Yannick	O ye a fanga don a la walisa a ka kɔrɔbɔliw muɲu						1527665647932	
Pionnier auxiliaire	Yannick	Piyoniye korosigi						1527665647933	
Pionnier	Boyd	Piyɔniye						-54217186338	
Service de pionnier	Yannick	Piyɔniye baara						1527665647935	
Juru sara	Boyd	Propitiation						19411687406	
Rapport	Yannick	Rapoori						1527665647937	
Texte de l'année	Yannick	Saan ka kalankun		Saan ka bibulusen				1527665647938	
1er siècle	Yannick	Saan kɛmɛ folo						1527665647939	
Sacrifice rédempteur	Boyd	Kunmabɔ  saraka						19411554786	
Autres brebis	Yannick	Saga wɛrɛw						1527665647941	
Petit troupeau	Yannick	Sagakulunin						1527665647942	
Dessein	Boyd	Sago						-8263134106	
Serviteur/adorateur	Boyd	Sagokɛla						-11287332641	
Chapitre	Boyd	Sapitiri		Tilan		Tilanyɔrɔ		-53018127491	
Sacrifier	Boyd	Saraka						-55856535110	
Sacrifice	Yannick	Saraka						1527665647947	
Sacrifier (à faux dieu)	Yannick	Saraka bɔ		kɛ				1527665647948	
Prêtre	Boyd	Sarakalasebaga						-27013963802	
Conditions à remplir	Yannick	Saratiw ka dafa						1527665647950	
Kisi	Boyd	Sauver						19411739780	
Puissant	Boyd	Sebagaya						2477044405	
Témoin	Yannick	Seere		Seree				1527665647953	
Témoignage informel	Yannick	Seereya kɛ sababu dɔ sen fɛ		Sen fɛ seereya		Senfɛ sereya		1527665647954	
Révision	Boyd	Segikanni						-4434272399	
Secrétaire	Yannick	Sekeretɛri						1527665647956	
Saint	Yannick	Senu				Senuman		1527665647957	
Témoignage	Yannick	Sereeya						1527665647958	
Asperger	Yannick	Seri seri						1527665647959	
Tract/dépliant	Yannick	Sɛbɛnin						1527665647960	
Valider	Boyd	Sɛmɛtiya						20017782740	
Divers aspects	Yannick	Sifa faanw ka ca						1527665647962	
Coépouse	Yannick	Sinamuso						1527665647963	
Satan	Boyd	Sitanɛ						-53019012572	
Site officiel	Yannick	Site daganin						1527665647965	
"Classe de ""l'intendant"""	Yannick	So kunna sigibaga jɛnkulu						1527665647966	
Intendant	Yannick	Sokunnasigibaga						1527665647967	
Système de sonorisation	Yannick	Sono juru						1527665647968	
Cheval	Boyd	Soo						3670467518	
De maison en maison	Boyd	Soo ni soo						3656948736	
Société	Yannick	Sosiyete						1527665647971	
Filiale	Yannick	Sosiyete ka biro		Tonbolo		Tɔnbolo biro		1527665647972	
Sujet controversé	Yannick	Sɔsɔli kuma						1527665647973	
Esprit des ancêtres	Yannick	Sukɔrɔ						1527665647974	
Résurrection	Yannick	Sukununi		Suu kununi				1527665647975	
Résurrection	Boyd	Sukununi		Suu kununi				-53018531254	
Baisser	Boyd	Suuri		Sosuuri				-53277812243	
Trébucher (physiquement)	Yannick	Talon						1527665647978	
Des amis peu recommandables	Yannick	Teri jugu sifaw						1527665647979	
Premier contact	Yannick	Tɛmɛko fɔlɔ						1527665647980	
Assemblée de circonscription	Yannick	Tile fila lajɛnba						1527665647981	
Assemblée spéciale d'un jour	Yannick	Tile kelen lajɛnba						1527665647982	
Assemblée de district	Yannick	Tile saba lajɛnba						1527665647983	
Texte du jour	Yannick	Tilera kalan		Lon o lon ka miiriya				1527665647984	
Estrade	Yannick	Tintin						1527665647985	
Surélévation/estrade	Yannick	Tintin						1527665647986	
Le seul vrai dieu	Yannick	Tiɲɛn ala kelenpe						1527665647987	
Bureau de la filiale	Yannick	Tɔnbolo biro						1527665647988	
Comité de filiale	Boyd	Tɔnbolo ka kɔmité						-16124033849	
Alliance	Yannick	Tɔnsigi						1527665647990	
Grande tribulation	Yannick	Tɔɔrɔba						1527665647991	
Déluge	Yannick	Tufane jii		Sanjiba				1527665647992	
Compagnon	Yannick	Tunɲɔgɔn						1527665647993	
Convertir(se)	Yannick	Tuubi						1527665647994	
Éviter les extrêmes	Yannick	U waganen tɛ						1527665647995	
Retrait volontaire	Yannick	U yɛrɛ mabɔ kafo la						1527665647996	
À cause de leur état de pécheur	Yannick	U yɛrɛw ka jurumutoya koson						1527665647997	
Verset	Boyd	Vɛrise		Bibulusen				-53018100777	
Verset	Yannick	Vɛrise		Bibulusen				1527665647999	
Verset clé	Yannick	Vɛrise jonjon						1527665648000	
185000	Boyd	Waa kɛmɛ ni bi seegi ni looru						-7053266987	
Devoir sacré	Yannick	Waajibiko senuman						1527665648002	
Prêcher	Boyd	Wajuli kɛ		Waju				-54727587241	
Quand nous prêchons	Yannick	Waajuli kɛto						1527665648004	
Ministère (prédication)	Yannick	Waajulibaara						1527665648005	
Surveillant au service	Yannick	Waajulibaara kɔrɔsibaga						1527665648006	
Année de service	Yannick	Waajulibaara saan						1527665648007	
Évangélisateur zélé	Yannick	Waajulikɛla kisɛman						1527665648008	
Le numéro de carte de territoire	Yannick	Waajulikɛyɔrɔ karti ka nimɔrɔ						1527665648009	
Groupes de prédication	Yannick	Waajuliko jɛnkuluw						1527665648010	
Réunion de service	Yannick	Waajuliko lajɛn						1527665648011	
Comité de service	Yannick	Waajuliko ɲɛnabɔbagaw jɛnkulu						1527665648012	
Temps critiques sont là	Yannick	Wagati gwɛlɛnw sera an kun						1527665648013	
Temps imparti	Yannick	Wagati latigɛlen						1527665648014	
Un autre moment de la journée	Yannick	Wagati wɛrɛ la tile kɔnɔ						1527665648015	
Prêcher	Yannick	Wajuli kɛ		Waju				1527665648016	
Territoire (prédication)	Yannick	Wajulikɛ yɔrɔ						1527665648017	
Fait (de prédication)	Yannick	Wale						1527665648018	
Proclamateur	Boyd	Weleweledala		Wajulikɛla				-18714818564	
Proclamateur	Yannick	Weleweledala		Wajulikɛla				1527665648020	
Enseignant capable	Yannick	Weleweledala kolonbaga		Weleweledala setigi				1527665648021	
Proclamateur moins expérimenté	Yannick	Weleweledala kura						1527665648023	
La paque juive	Boyd	Yahutuw ka tɛmɛnkan seli						20017576005	
Cette méthode est elle toujours utile ?	Yannick	Yala o kɛcogo be sanga la hali bi wa ?						1527665648025	
Conversion	Yannick	Yɛlɛmani						1527665648026	
Sacrifier (se)	Yannick	Yɛrɛ saraka (réfléchi)						1527665648027	
Offrande de soi	Yannick	Yɛrɛkundili						1527665648028	
Maitrise de soi	Boyd	Yɛrɛminɛli						3656197437	
Esprit d'indépendance	Yannick	Yɛrɛta hakili						1527665648030	
Présence de jésus	Yannick	Yɛsu be yan wagati						1527665648031	
Présentation	Boyd	Yiracogo						-18949454284	
Psalmiste	Yannick	Zaburu sɛbɛbaga						1527665648033	
District du jourdain	Yannick	Zurudɛn mara						1527665648034	
Ancien numéro	Yannick	Zurunali koroman						1527665648035	
Journée de périodiques	Yannick	Zurunaliw dilon						1527665648036	
Tournée de périodiques	Yannick	Zurunaliw disira						1527665648037	
Diffusion des périodiques	Yannick	Zurunaliw jɛnsɛnni						1527665648038	
Fondé sur les Ecritures		A basiginen be Bibulu kan						27783419414	
Il chérissait son fils		A dencɛ ko tun ka di a ye hali						27783419415	
Se sentir heureux		A dusu diyara						27783419416	
Se sentir satisfait		A dusu wasara						27783419417	
Ses manières d'agir		A ka koow kɛcɔgɔw						27783419418	
Il parle exclusivement de		A kɔnɔnakow bɛɛ be kuma						27783419419	
Il était disposé		A labɛnnen tun lo ka ..						27783419420	
Il croit en …		A lanen be .. na						27783419421	
Il croyait en …		A lanen tun be…na						27783419422	
Il n'est pas intéressé		A m'a mako don						27783419423	
Il nous a oublié		A ɲinɛna an kɔ						27783419424	
Écrit à l'envers		A sɛbɛra ka yɛlɛma ɲɛjugu kan						27783419425	
Elle m'est allée droit au cœur		A sinna ka ne dusu minɛ						27783419426	
Il ne cherche pas ses propres intérêts		A t'a yɛrɛ nafa ɲini						27783419427	
Il ne les lisait jamais		A tun m'u kalan ka ye						27783419428	
Veuillez l'utiliser largement		A' ye baara kɛ n'a ye caaman						27783419429	
Abonnement		Abɔneman						27783419430	
Compagnon de travail de Dieu		Ala ka baarakɛnyogon						27783419431	
Armure complète de Dieu		Ala ka kɛlɛkɛ minenw bɛɛ						27783419432	
Royaume de Dieu établi		Ala ka masaya sigira sen kan						27783419433	
Fidèle intendant de la faveur imméritée de Dieu		Ala ka nɛɛma nilifɛn marabaga dannamɔgɔw						27783419434	
Obéissance à Dieu		Ala kanminɛli						27783419435	
Impie		Ala lɔnbali						27783419436	
Pécheurs impies		Ala ɲɛsiranbali jurumutɔw						27783419437	
Trinité		Ala sabaya						27783419438	
Volonté de Dieu		Ala sagoya						27783419439	
Pensée spirituelle		Alako miiriya						27783419440	
Trésor spirituel		Alako nafolo						27783419441	
Moisson spirituelle		Alako sumatigɛ						27783419442	
Croyant		Alalɔnbaga						27783419443	
Elle l'adopta comme son fils		Ale y'a kɛ a yɛrɛ dencɛ ye						27783419444	
Paradis		Alijɛnɛ						27783419445	
Scène du paradis		Alijɛnɛ bisigi						27783419446	
Soyons déterminés à écouter		An k'an cɛsiri k'a lamɛn						27783419447	
Conjuguons nos efforts		An ka jɛn k'an jija ka …						27783419448	
Séparons-nous		An ka mabɔ ɲɔgɔnna						27783419449	
Soyons souples		An ka magaya						27783419450	
Continuons d'attendre Jéhovah		An ka to ka Jehova makɔnɔ						27783419451	
Parcourons entièrement le territoire		An ka waajuli kɛ  kiin kɔnɔ k'a dafa						27783419452	
N'en concluez pas trop rapidement		An kana koroto k'a miiri ko						27783419453	
Notre glorieux Père céleste		An sankolola Faa cyɛnyumanba						27783419454	
Abordable		An te sigasiga ka kuma a fɛ		A labilanin lo mɔgɔw kama (être abordable)				27783419455	
En ses propres termes		An yɛrɛ ka kumacogo la						27783419456	
Ne vous en remettez pas au hasard		Aw kana miiri ko koow bena kɛ u yɛrɛ ye						27783419457	
Récompense merveilleuse		Barajiba						27783419458	
Force fournie		Barika dilen						27783419459	
Evènement imprévus		Barinankow						27783419460	
Entrée en matière		Baro dadon kuma						27783419461	
Bonne discussion		Baro diiman						27783419462	
Thème / Article / Titre		Barokun		Kalankun				27783419463	
Idoles sans vie		Batofɛnw ɲɛnaman tɛ						27783419464	
Traduction		Bayɛlɛmani						27783419465	
Maltraitence des animaux		Bɛgɛnw nintoro						27783419466	
Règlement des différents		Bɛnbaliyaw ɲɛnabɔko						27783419467	
À notre époque		Bi tilew la						27783419468	
Compréhension actuelle de la Bible		Bibulu faamuyacogo kura						27783419469	
Stocker		Bila		Bilanin				27783419470	
Image (sens figuré)/Représentation		Bisigi						27783419471	
Idôlatrie		Boli batoli						27783419472	
Don matériel		Bololafen nili						27783419473	
Matériel (sur le plan)		Bololafɛn						27783419474	
Aide matérielle		Bololafɛn dili						27783419475	
Montants des portes		Bonda yiri						27783419476	
Généalogie / Origine		Buruju						27783419477	
Pédophilie		Cɛnimusoya kɛ ni denfitiniw ye						27783419479	
Homosexualité		Cɛɲɔgɔnɲini ni musoɲɔgɔnɲini koo						27783419480	
Intertitre / Sous-titre		Cɛtigɛ						27783419481	
Discours d'instruction		Cii fɔlɔ kalan						27783419482	
Message		Cira						27783419483	
Message capital		Cira kɔrɔtalen						27783419484	
Faux prophète		Cira ngalontigɛla						27783419485	
Messager		Ciraden						27783419486	
De façon méthodique (ordonnée) / Logique		Cogo tilennen na						27783419487	
Frapper à une porte		Daa kɔkɔ						27783419488	
Démarrer (conversation)		Dabɔ						27783419489	
Inspirée de Dieu		Dafiɲɛ fɛ (Ala...)						27783419490	
Quelques paragraphes		Dakun damanin dɔw						27783419491	
Nombre de paragraphes		Dakun hakɛ						27783419492	
Renier		Dalacɛ						27783419493	
Reniement		Dalacɛli						27783419494	
Contemporain de David		Daouda ka wagati mɔgɔ		Daouda ka filankuru				27783419495	
Emblème		Dasiri						27783419496	
Surveillant Président		Diinan mɔgɔkɔrɔw ɲɛbila						27783419497	
Abîme		Dingɛ dunba						27783419498	
Volonté, Plaisir		Diyanako						27783419499	
Approbation		Diyanye						27783419500	
Cantique / Mélogie		Donkili						27783419501	
Recueil de cantiques		Donkili gafe						27783419502	
Réduire, Manquer de respect à		Dɔgɔ						27783419503	
Chanson, Chant, Musique		Dɔnkili						27783419504	
Bienfait		Duga		Sara		Nafa		27783419505	
Bénis		Dugaden		Dubaden				27783419506	
Chemise, Vêtement, Tunique		Duloki		Dereke		Fani		27783419507	
Humanité, Monde		Duniɲa		Diɲɛ				27783419508	
Souverain de l'univers / Souverain Seigneur		Duniɲa kuru bɛɛ Masaba						27783419509	
Pharaon		Faharuna						27783419510	
Force irrésistible		Fanga barikama						27783419511	
Tenue		Fani doncogo		Fani				27783419512	
Méthode, moyen		Fɛɛrɛ						27783419513	
Faiblesse (défaut)		Finyɛ						27783419514	
Fête populaire		Foroba fɛtilon						27783419515	
Discours public / Réunion publique		Forobakalan						27783419516	
Manuel d'étude		Gafe kalanta						27783419517	
Présentation simple		Gafe yiracogo nɔgɔman						27783419518	
Écritures grecques chrétiennes		Gɛrɛkikan Sɛbɛninw						27783419519	
Esprit fixé sur le Royaume		Hakili be sigi Masaya koow kan						27783419520	
Famine spirituelle		Hakilimaya kongo						27783419521	
Pensée essentielle		Hakilinata jonjon						27783419522	
Fruit de l'esprit		Halkili senu deen						27783419523	
Écritures hébraïques		Heburukan Sɛbɛninw						27783419524	
Donner à Jéhovah le meilleur		I k'i seko fisaman kɛ Jehova ma						27783419525	
Fixe toi un objectif personnel		I k'i togola lanyinita latigɛ						27783419526	
Restons proches de l'organisation de Jéhovah		I ka to Jehova ka jɛnkulu kɔrɔ						27783419527	
Assistance / Foule		Jama						27783419528	
Situation des comptes		Jateminɛw dantigɛli						27783419529	
Créations de Jéhovah		Jehova ka fɛɛn danenw						27783419530	
Brûler / Consumer		Jeni		Jɛni				27783419531	
Mauvaise compagnie		Jɛnɲɔgɔn jugu						27783419532	
Idôle		Joo		Boli		Batofɛn		27783419533	
Pire ennemi		Juguba						27783419534	
Se soucier		K'a janto		Jɔrɔ				27783419535	
Laisser la Parole de Dieu les pousser à l'action		K'a to Ala ka Kuma ka u lasun						27783419536	
Faire usage de sa raison		K'a yɛrɛ hakili jagabo						27783419537	
Compter sur Jéhovah		K'an bolo la Jehova kan						27783419538	
Fixer notre esprit sur des pensées constructives		K'an nyɛɛ jolen to koo nafamanw kan						27783419539	
Plein d'égards		K'i janto mɔgɔ la						27783419540	
Se vouer		K'i yɛrɛkun di						27783419541	
Nous observons leur environnement		K'u laminikow kɔrɔsi						27783419542	
Remercier Dieu		Ka barika la Ala ye		Ka Ala fo				27783419543	
Reporter le baptême à plus tard		Ka batɛmi bila wagati wɛrɛ kan		Ka batɛmi segi kɔ		Ka batɛmi bila ka suma		27783419544	
Prendre l'initiative		Ka bɔ i yɛrɛ la						27783419545	
Productif		Ka den koɲuman						27783419546	
Partager avec d'autres		Ka do bo aw bolo fɛnw la ka o di						27783419547	
Inculquer à vos enfants		Ka don aw deenw kuun na						27783419548	
S'exposer à un danger		Ka farati bila a sen kɔrɔ						27783419549	
Raisonner habilement à partir des Écritures		Ka hakilijagabɔ koɲuman Bibulusenw kan						27783419550	
S'intéresser sincèrement à autrui		Ka janto ɲɔgɔn na sɔbɛ la						27783419551	
Connaître Jéhovah et le servir		Ka Jehova lon ani ka baara kɛ a ye						27783419552	
Louer Jéhovah publiquement		Ka Jehova tando bɛɛ nyɛ na						27783419553	
Resserrer ses liens avec Jéhovah		Ka jɛnɲɔgɔya teriman yiriwa ile ni Ala cɛ						27783419554	
Lecture publique		Ka kalan gwɛ kɛ jama ɲɛ na						27783419555	
Parler au naturel		Ka kalan kɛ u yɛrɛ kuma cogo la						27783419556	
Savoir lire et écrire		Ka kalan ni sɛbɛri lon						27783419557	
Être irréprochable et innocent		Ka kɛ jalakibali jɛlenw ye						27783419558	
Regarder le côté positif de la situation		Ka koow jate ni nyɛɛ nyuman ye						27783419559	
Parler de façon positive		Ka kuma ɲuman fɔ						27783419560	
Répondre à une objection		Ka kuma tigɛbaga ka sɔsɔli jaabi						27783419561	
Se prosterner		Ka kunbiri gwan dɔ kɔrɔ						27783419562	
Prendre des dispositions précises		Ka labɛn kɛ ka gwɛ						27783419563	
Prendre rendez-vous		Ka labɛn kɛ ka segi ka na						27783419564	
Prendre la meilleure décision		Ka latigɛli fisaman kɛ						27783419565	
Tenir ferme contre le Diable et les démons		Ka lo ka nyɛ ka Sitanɛ ni jinaw kunbɛn						27783419566	
Accueillir les visiteurs		Ka lonanw bisimila						27783419567	
Fixer un jour		Ka loon kelen latigɛ						27783419568	
Nettoyer et entretenir la Salle du Royaume		Ka Masaya Boon saniya ani k'a ladon						27783419569	
Penser que les morts sont conscients		Ka miiri ko mɔgɔ salenw be koow kala ma						27783419570	
Réfléchir sérieusement à tout ce qu'il contient		Ka miiri kosɔbɛ a kɔnnakow bɛɛ kan						27783419571	
Inciter d'autres personnes		Ka mɔgɔ wɛrɛw lasun						27783419572	
Calomnier Jéhovah		Ka nafigiya kɛ Jehova la						27783419573	
Se repentir		Ka nimisa						27783419574	
Glorifier Dieu		Ka nɔɔrɔ la Ala kan						27783419575	
Pousser des cris de joie		Ka nyagalikan bo						27783419576	
Fixer notre attention		Ka ɲɛɛ jɔ						27783419577	
Chérir la vie		Ka ɲɛnamaya jati fɛnba ye						27783419578	
Vivre dans l'attachement à Dieu		Ka ɲɛnamaya kɛ k'an masirilen to Ala la						27783419579	
Simplifier sa vie		Ka ɲɛnamaya kɛ nɔgɔman na		An k'an ɲɛnamaya kɛ nɔgɔman na				27783419580	
Oublier Jéhovah		Ka ɲinɛ Jehova kɔ						27783419581	
Être réintégré		Ka segi ka na						27783419582	
Mettre en valeur		Ka sin k'a yira						27783419583	
Accentuation des mots clés		Ka sinsin yɔrɔ jɔnjɔnw kan						27783419584	
Mettre en évidence		Ka sinsin… kan		Yira ka gwɛ				27783419585	
S'appliquer à connaître la Parole de Dieu		Ka sɔbɛ don ka Ala ka Kuma kalan						27783419586	
Défendre la vérité		Ka tinyɛnko lafasa						27783419587	
Prendre position pour Jéhovah		Ka tugu Jehova kɔ						27783419588	
Résumer brièvement les textes longs		Ka vɛrise janw kofo ka surunya						27783419589	
Montrer sa reconnaissance		Ka walenyumanlon yira						27783419590	
Paganisme / Païenne		Kafiriya						27783419591	
Formulaire		Kafolisɛbɛ						27783419592	
Discours		Kalan						27783419593	
Leçon importante		Kalan nafaman						27783419594	
Exposé constructif		Kalan ɲuman						27783419595	
Disciple		Kalanden						27783419596	
Fidélité indéfectible		Kantigiya lamagabali						27783419597	
Les armées mirent le siège sur Jérusalem		Kɛlɛbolow ye daga sigi Jerusalem daa la						27783419598	
Juger		Kiri tigɛ ... kan						27783419599	
Juger avec justice		Kiri tigɛ cogo tilennin na						27783419600	
Jugement (lieu du)		Kiritigɛyɔrɔ						27783419601	
Séparer de Babylone la Grande		Ko an faranna ka bo Babilonɛba la						27783419602	
Obéissance		Kololi						27783419603	
Activités saines		Koow kɛcogo saniman						27783419604	
Malgré l'opposition		Koroboli bɛɛ n'a ta						27783419605	
Mer Rouge		Kɔgɔji Wulen						27783419606	
Observateur		Kɔlɔsili kɛbaga						27783419607	
Directeur de festin		Kɔɲɔko kuntigi						27783419608	
Intronisation du Christ		Krista sigini masa sigilan kan						27783419609	
Fluidité de l'expression		Kuma ka nɔgɔya a daa						27783419610	
Modulation		Kumakan yɛlɛma-yɛlɛma						27783419611	
Lépreux		Kunatɔ						27783419612	
Idée annexe		Kunnafoni do						27783419613	
Génération		Kuru		Filankuru		Wagatikelenmɔgɔw		27783419614	
Sens (à la vie)		Kuun						27783419615	
Conducteur à la Tour de Garde		La Tour de Garde kalan ɲɛminɛbaga						27783419616	
Conseiller adjoint (EMT)		Ladili dibaga filanan		Ladili dibaga kankɔrɔsigi				27783419617	
Blâme		Lagosili						27783419618	
Ferme / Inébranlable		Lamagabali						27783419619	
Auditeur		Lamɛnnikɛla						27783419620	
Contexte		Laminiko						27783419621	
Maraige coutumier		Landa furu						27783419622	
Objectif		Lanyinita		Laɲinita				27783419623	
Priorité		Laɲinita fɔlɔ						27783419624	
Progresser (faire)		Lataga ɲɛ						27783419625	
Manque de foi		Limaniyabaliya						27783419626	
Lecture hebdomadaire de la bible		Logokun kono ka bibulu kalangwɛ						27783419627	
Pendant un jour entier		Loon kelen kuru bɛɛ						27783419628	
Centre d'intérêt		Makow						27783419629	
Salle du Royaume		Masaya boon						27783419630	
Bonne nouvelle du Royaume		Masaya kibaro duman						27783419631	
Repas du Seigneur		Matigi ka surafana seli						27783419632	
Idées indéniables		Miiriyaw, mɔgɔ te se k'u soso						27783419633	
Enduire		Mɔ						27783419634	
Modèle		Mɔdɛli						27783419635	
Offenser		Mɔgɔ gasi tiɲɛn		Baga mɔgɔ ma				27783419636	
Personnes sans instruction		Mɔgɔ gwansan kalanbaliw						27783419637	
Il dédaigna la comapgnie des méchants		Mɔgɔ juguw ka jɛnɲɔgɔnya tun ka gwo a ye						27783419638	
Personne cultivée		mɔgɔ kalannen						27783419639	
Personne inexpérimentée		Mɔgɔ ko lɔnbali						27783419640	
Personne d'une origine différente		Mɔgɔ min bɔyɔrɔ tɛ kelen ye						27783419641	
Protecteur		mɔgɔ tangabaga						27783419642	
Oints (chrétiens)		Mɔnlenw						27783419643	
Supporter/endurer		Muɲuli						27783419644	
Quand c'est approprié		N'a bɛnnen be						27783419645	
Quand vous reviendrez		N'an segira ka na						27783419646	
Quand tu seras grand		N'i kɔrɔbayara						27783419647	
Matérialiste		Nafolo kanuya b'a la						27783419648	
Trésor inestimable		Nafolo nafamanba						27783419649	
Empêcher de progresser		Nagasi						27783419650	
Je ne m'intéresse pas aux Témoins de Jéhovah		Ne mako tɛ Jehova Seerew la						27783419651	
Privilège		Nɛɛma						27783419652	
Faux dieux		Ngalon alaw						27783419653	
Fausse religion		Ngalon diinan						27783419654	
Si les circonstances le permettent		Ni koow cogoya bɛnnen be						27783419655	
Presque tout le monde apprécie		Ni mɔgɔ kelen-kelen tɛ , a ka di bɛɛ ye ka						27783419656	
Si un autre est disponible		Ni mɔgɔ wɛrɛ labilanen lo						27783419657	
Au bord du Nil		Nili bada la						27783419658	
Parabole		Ntalen						27783419659	
Donner un proverbe		Ntalen la						27783419660	
Exemple remarquable		Nyɛyirali cɛnyumanba						27783419661	
Fixer du regard		Ɲɛɛ jɔlen to						27783419662	
Progrès sensibles (notables)		Ɲɛtaga bɛrɛ kɛ						27783419663	
Progrès (faire)		Ɲɛtaga kɛ						27783419664	
Volonté		Ŋaniya						27783419665	
Murmurer		Ŋunuŋunu		Dajukɔrɔ kuma fɔ				27783419666	
Murmure		Ŋunuŋunukan						27783419667	
Jamais vu chose semblable		O koɲɔgɔn tun ma deli ka ye abada						27783419668	
Elles ne sont pas autorisées à l'assemblée		O ma daga lajɛnba yɔrɔ la						27783419669	
Programme		Porogramu						27783419670	
Possibilité unique		Sababuba						27783419671	
Nuée		Sankaba						27783419672	
Père céleste plein d'amour		Sankolola Faa kanutigi						27783419673	
Récompenser		Sara						27783419674	
Principe élevé		Sariyakolo kɔrɔtalen						27783419675	
Tenue vestimentaire		Sawura						27783419676	
Saint / Sain / Pur		Senu		Senuman				27783419677	
Dépliant		Sɛbɛnin						27783419678	
Tract		Sɛbɛnin						27783419679	
Vérification		Sɛgɛsɛgɛri						27783419680	
Réservation des sièges		Sigiyɔrɔ marali						27783419681	
Sur les trottoirs		Siradaw la						27783419682	
Maintenant que tu as grandi		Sisan, komi i kɔrɔbayara						27783419683	
