#French	Source	Jula1	Note1	Jula2	Note2	Bambara	Note3	Note ID	tags
Prophétie	Yannick	Ciraya		Cirakuma				1527665647587	
Dans la dignité	Yannick	Cogo bɛnnen na						1527665647588	
De façon méthodique (ordonnée)	Yannick	Cogo tilennen na						1527665647589	
Porte en porte	Yannick	Da ni da la						1527665647590	
Introduction	Boyd	Dadon kumaw						403520813	
Imperfection	Yannick	Dafabaliya						1527665647592	
Inspirée de dieu	Yannick	Dafiɲɛ fɛ (ala...)						1527665647593	
Lors de l'examen du paragraphe	Yannick	Dakun lajɛtɔ						1527665647594	
Révision orale	Yannick	Dalafoli segikanni						1527665647595	
Entamer (entamer une conversation)	Yannick	Daminɛ						1527665647596	
Créer	Boyd	Dan						3218598874	
Pionnier spécial	Yannick	Dan na Piyoniye						1527665647598	
Créature spirituelle	Yannick	Danfɛn hakililama						1527665647599	
Contemporain de david	Yannick	Daouda ka wagati mɔgɔ				Daouda ka filankuru		1527665647600	
Fils unique-engendré	Yannick	Dencɛ kelenpɛ bangelen						1527665647601	
Secte	Yannick	Diinan bolo fara						1527665647603	
Collège d'anciens	Yannick	Diinan mɔgɔkorow jɛnkulu						1527665647604	
Ancien	Boyd	Diinan mɔgɔ kɔrɔ						-54217186336	
Coordinateur du collège des anciens	Yannick	Diinan mɔgɔkɔrɔw jɛnkulu ka koow labɛnbaga						1527665647606	
Surveillant président	Yannick	Diinan mɔgɔkɔrɔw ɲɛbila						1527665647607	
Surveillant de ville	Yannick	Dugu kɔrɔsibaga						1527665647608	
Sur la terre entière	Yannick	Dugukolo kuru bɛɛ kan		Dugukolo faan bɛɛ la				1527665647609	
Ruine de la terre	Yannick	Dugukolo tinyɛni						1527665647610	
Esprit du monde	Yannick	Duninya ka miiriya						1527665647611	
Dans un monde méchant et corrompu	Yannick	Duniɲa juguman tolinen kɔnɔ						1527665647612	
Puissance mondiale	Yannick	Duniɲa ka jamana fangatigi						1527665647613	
Souverain de l'univers / souverain seigneur	Yannick	Duniɲa kuru bɛɛ masaba						1527665647614	
Vin	Boyd	Duvɛn						20017719262	
Contenance, Capacité	Yannick	Fahakɛ						1527665647616	
Une tenue et une coiffure modeste	Yannick	Fanidocogo ni kuun masiricogo dama kɛɲɛnen						1527665647617	
Chair	Boyd	Farisogo						20017677956	
Chair imparfaite	Yannick	Farisogo dafabali						1527665647619	
Oeuvres de la chair	Yannick	Farisogo ka kɛwali						1527665647620	
Désirs charnels	Yannick	Farisogo negew						1527665647621	
Faute grave	Yannick	Filiba						1527665647622	
Tabernacle	Yannick	Finiso						1527665647623	
Discours public	Boyd	Forobakalan						3830971515	
Discours public	Yannick	Forobakalan						1527665647625	
Discours spécial	Yannick	Forobakalan kɛrɛnkɛrɛn						1527665647626	
Levure	Boyd	Funufen						20017822377	
Discours de mariage	Yannick	Furukalan						1527665647628	
Publication	Yannick	Gafe						1527665647629	
Préposé aux publications	Yannick	Gafekow ɲɛnabobaga						1527665647630	
Antenne de traduction	Boyd	Gafew bayɛlɛma yɔrɔ						-54217186332	
Demande de publications (demande écrite)	Yannick	Gafew nyinisɛbɛ						1527665647632	
École de guiléad	Boyd	Gilead lakɔli						-15518782417	
Inefficacité des gouvernements	Yannick	Gofɛrɛnɛman dɛsɛbagato						1527665647634	
Propos confidentiels	Yannick	Gundo kumaw						1527665647635	
